Practice Name,Full Address,Name of Building,Street,City,State,Postcode,Website
Orthoworx @ Zetland,"['Se 1  98 Joynton Ave', 'ZETLAND NSW  2017', 'AUSTRALIA']",N/a,Se 1  98 Joynton Ave,ZETLAND,NSW,2017,orthoworx.com
IDental Surgery,"['541 King Street', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,541 King Street,NEWTOWN,NSW,2042,
151 Degree Dental,"['Suite 1, Level 1, 21 Fountain St', 'ALEXANDRIA NSW  2015', 'AUSTRALIA']",N/a,"Suite 1, Level 1, 21 Fountain St",ALEXANDRIA,NSW,2015,151degreedental.com.au
DR S P Zorbas,"['91 Erskineville Rd', 'ERSKINEVILLE NSW  2043', 'AUSTRALIA']",N/a,91 Erskineville Rd,ERSKINEVILLE,NSW,2043,
Dentists On Enmore,"['208 Enmore Rd', 'ENMORE NSW  2042', 'AUSTRALIA']",N/a,208 Enmore Rd,ENMORE,NSW,2042,
Dens in Dente Dental Care,"['Shop 2 138-142 Botany Rd', 'ALEXANDRIA NSW  2015', 'AUSTRALIA']",N/a,Shop 2 138-142 Botany Rd,ALEXANDRIA,NSW,2015,densindente.com.au
Blue Tooth Dental,"['134-146 Enmore Rd', 'ENMORE NSW  2042', 'AUSTRALIA']",N/a,134-146 Enmore Rd,ENMORE,NSW,2042,bluetoothdental.com.au
Dr N Oreb,"['L 1  369 King St', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,L 1  369 King St,NEWTOWN,NSW,2042,
Smiles At Waterloo,"['Shop 85  788 Bourke St', 'WATERLOO NSW  2017', 'AUSTRALIA']",N/a,Shop 85  788 Bourke St,WATERLOO,NSW,2017,
Pain Free Dentist Sydney,"['Shop 1 12 Enmore Rd', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,Shop 1 12 Enmore Rd,NEWTOWN,NSW,2042,painfreedentistsydney.com.au
Newtown Dentists,"['Shop 1', '12 Enmore Rd', 'NEWTOWN NSW  2042', 'AUSTRALIA']",Shop 1,12 Enmore Rd,NEWTOWN,NSW,2042,newtowndentists.com.au
Sydney Boutique Dentistry,"['Unit 1  9-15 Danks St', 'WATERLOO NSW  2017', 'AUSTRALIA']",N/a,Unit 1  9-15 Danks St,WATERLOO,NSW,2017,avgardesmiles.com.au
Aline Orthodontics,"['Suite 2, Ground, 3-13 Erskineville Road', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,"Suite 2, Ground, 3-13 Erskineville Road",NEWTOWN,NSW,2042,
Dental Suite,"['Se 6  1 Erskineville Rd', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,Se 6  1 Erskineville Rd,NEWTOWN,NSW,2042,dentalsuite.com.au
MPW Dentistry,"['694-696 Elizabeth St', 'WATERLOO NSW  2017', 'AUSTRALIA']",N/a,694-696 Elizabeth St,WATERLOO,NSW,2017,
Newtown Dental Care,"['Unit 2, 247 King St', 'NEWTOWN NSW  2042', 'AUSTRALIA']",N/a,"Unit 2, 247 King St",NEWTOWN,NSW,2042,
